image_id,raw_image_path,processed_image_path,thumbnail_path,source_root,split,filename,material_type,script_family,is_manuscript,notes
34,data\raw\manuscripts\manuscri106.PNG,data\processed\images_1024\manuscri106.PNG,data\processed\thumbnails\manuscri106.PNG,,,manuscri106.PNG,,,,auto: needs manual review
35,data\raw\manuscripts\manuscri107.PNG,data\processed\images_1024\manuscri107.PNG,data\processed\thumbnails\manuscri107.PNG,,,manuscri107.PNG,,,,auto: needs manual review
36,data\raw\manuscripts\manuscri108.PNG,data\processed\images_1024\manuscri108.PNG,data\processed\thumbnails\manuscri108.PNG,,,manuscri108.PNG,,,,auto: needs manual review
37,data\raw\manuscripts\manuscri109.PNG,data\processed\images_1024\manuscri109.PNG,data\processed\thumbnails\manuscri109.PNG,,,manuscri109.PNG,,,,auto: needs manual review
38,data\raw\manuscripts\manuscri11.PNG,data\processed\images_1024\manuscri11.PNG,data\processed\thumbnails\manuscri11.PNG,,,manuscri11.PNG,,,,auto: needs manual review
39,data\raw\manuscripts\manuscri110.PNG,data\processed\images_1024\manuscri110.PNG,data\processed\thumbnails\manuscri110.PNG,,,manuscri110.PNG,,,,auto: needs manual review
40,data\raw\manuscripts\manuscri111.PNG,data\processed\images_1024\manuscri111.PNG,data\processed\thumbnails\manuscri111.PNG,,,manuscri111.PNG,,,,auto: needs manual review
41,data\raw\manuscripts\manuscri112.PNG,data\processed\images_1024\manuscri112.PNG,data\processed\thumbnails\manuscri112.PNG,,,manuscri112.PNG,,,,auto: needs manual review
42,data\raw\manuscripts\manuscri113.PNG,data\processed\images_1024\manuscri113.PNG,data\processed\thumbnails\manuscri113.PNG,,,manuscri113.PNG,,,,auto: needs manual review
43,data\raw\manuscripts\manuscri114.PNG,data\processed\images_1024\manuscri114.PNG,data\processed\thumbnails\manuscri114.PNG,,,manuscri114.PNG,,,,auto: needs manual review
44,data\raw\manuscripts\manuscri115.PNG,data\processed\images_1024\manuscri115.PNG,data\processed\thumbnails\manuscri115.PNG,,,manuscri115.PNG,,,,auto: needs manual review
45,data\raw\manuscripts\manuscri116.PNG,data\processed\images_1024\manuscri116.PNG,data\processed\thumbnails\manuscri116.PNG,,,manuscri116.PNG,,,,auto: needs manual review
46,data\raw\manuscripts\manuscri117.PNG,data\processed\images_1024\manuscri117.PNG,data\processed\thumbnails\manuscri117.PNG,,,manuscri117.PNG,,,,auto: needs manual review
47,data\raw\manuscripts\manuscri118.PNG,data\processed\images_1024\manuscri118.PNG,data\processed\thumbnails\manuscri118.PNG,,,manuscri118.PNG,,,,auto: needs manual review
48,data\raw\manuscripts\manuscri119.PNG,data\processed\images_1024\manuscri119.PNG,data\processed\thumbnails\manuscri119.PNG,,,manuscri119.PNG,,,,auto: needs manual review
49,data\raw\manuscripts\manuscri12.PNG,data\processed\images_1024\manuscri12.PNG,data\processed\thumbnails\manuscri12.PNG,,,manuscri12.PNG,,,,auto: needs manual review
50,data\raw\manuscripts\manuscri120.PNG,data\processed\images_1024\manuscri120.PNG,data\processed\thumbnails\manuscri120.PNG,,,manuscri120.PNG,,,,auto: needs manual review
51,data\raw\manuscripts\manuscri121.PNG,data\processed\images_1024\manuscri121.PNG,data\processed\thumbnails\manuscri121.PNG,,,manuscri121.PNG,,,,auto: needs manual review
52,data\raw\manuscripts\manuscri122.PNG,data\processed\images_1024\manuscri122.PNG,data\processed\thumbnails\manuscri122.PNG,,,manuscri122.PNG,,,,auto: needs manual review
53,data\raw\manuscripts\manuscri123.PNG,data\processed\images_1024\manuscri123.PNG,data\processed\thumbnails\manuscri123.PNG,,,manuscri123.PNG,,,,auto: needs manual review
54,data\raw\manuscripts\manuscri124.PNG,data\processed\images_1024\manuscri124.PNG,data\processed\thumbnails\manuscri124.PNG,,,manuscri124.PNG,,,,auto: needs manual review
55,data\raw\manuscripts\manuscri125.PNG,data\processed\images_1024\manuscri125.PNG,data\processed\thumbnails\manuscri125.PNG,,,manuscri125.PNG,,,,auto: needs manual review
56,data\raw\manuscripts\manuscri126.PNG,data\processed\images_1024\manuscri126.PNG,data\processed\thumbnails\manuscri126.PNG,,,manuscri126.PNG,,,,auto: needs manual review
57,data\raw\manuscripts\manuscri127.PNG,data\processed\images_1024\manuscri127.PNG,data\processed\thumbnails\manuscri127.PNG,,,manuscri127.PNG,,,,auto: needs manual review
58,data\raw\manuscripts\manuscri128.PNG,data\processed\images_1024\manuscri128.PNG,data\processed\thumbnails\manuscri128.PNG,,,manuscri128.PNG,,,,auto: needs manual review
59,data\raw\manuscripts\manuscri129.PNG,data\processed\images_1024\manuscri129.PNG,data\processed\thumbnails\manuscri129.PNG,,,manuscri129.PNG,,,,auto: needs manual review
60,data\raw\manuscripts\manuscri13.PNG,data\processed\images_1024\manuscri13.PNG,data\processed\thumbnails\manuscri13.PNG,,,manuscri13.PNG,,,,auto: needs manual review
61,data\raw\manuscripts\manuscri130.PNG,data\processed\images_1024\manuscri130.PNG,data\processed\thumbnails\manuscri130.PNG,,,manuscri130.PNG,,,,auto: needs manual review
62,data\raw\manuscripts\manuscri131.PNG,data\processed\images_1024\manuscri131.PNG,data\processed\thumbnails\manuscri131.PNG,,,manuscri131.PNG,,,,auto: needs manual review
63,data\raw\manuscripts\manuscri132.PNG,data\processed\images_1024\manuscri132.PNG,data\processed\thumbnails\manuscri132.PNG,,,manuscri132.PNG,,,,auto: needs manual review
64,data\raw\manuscripts\manuscri133.PNG,data\processed\images_1024\manuscri133.PNG,data\processed\thumbnails\manuscri133.PNG,,,manuscri133.PNG,,,,auto: needs manual review
65,data\raw\manuscripts\manuscri134.PNG,data\processed\images_1024\manuscri134.PNG,data\processed\thumbnails\manuscri134.PNG,,,manuscri134.PNG,,,,auto: needs manual review
66,data\raw\manuscripts\manuscri135.PNG,data\processed\images_1024\manuscri135.PNG,data\processed\thumbnails\manuscri135.PNG,,,manuscri135.PNG,,,,auto: needs manual review
67,data\raw\manuscripts\manuscri136.PNG,data\processed\images_1024\manuscri136.PNG,data\processed\thumbnails\manuscri136.PNG,,,manuscri136.PNG,,,,auto: needs manual review
68,data\raw\manuscripts\manuscri137.PNG,data\processed\images_1024\manuscri137.PNG,data\processed\thumbnails\manuscri137.PNG,,,manuscri137.PNG,,,,auto: needs manual review
69,data\raw\manuscripts\manuscri138.PNG,data\processed\images_1024\manuscri138.PNG,data\processed\thumbnails\manuscri138.PNG,,,manuscri138.PNG,,,,auto: needs manual review
70,data\raw\manuscripts\manuscri139.PNG,data\processed\images_1024\manuscri139.PNG,data\processed\thumbnails\manuscri139.PNG,,,manuscri139.PNG,,,,auto: needs manual review
71,data\raw\manuscripts\manuscri14.PNG,data\processed\images_1024\manuscri14.PNG,data\processed\thumbnails\manuscri14.PNG,,,manuscri14.PNG,,,,auto: needs manual review
72,data\raw\manuscripts\manuscri140.PNG,data\processed\images_1024\manuscri140.PNG,data\processed\thumbnails\manuscri140.PNG,,,manuscri140.PNG,,,,auto: needs manual review
73,data\raw\manuscripts\manuscri141.PNG,data\processed\images_1024\manuscri141.PNG,data\processed\thumbnails\manuscri141.PNG,,,manuscri141.PNG,,,,auto: needs manual review
74,data\raw\manuscripts\manuscri142.PNG,data\processed\images_1024\manuscri142.PNG,data\processed\thumbnails\manuscri142.PNG,,,manuscri142.PNG,,,,auto: needs manual review
75,data\raw\manuscripts\manuscri143.PNG,data\processed\images_1024\manuscri143.PNG,data\processed\thumbnails\manuscri143.PNG,,,manuscri143.PNG,,,,auto: needs manual review
76,data\raw\manuscripts\manuscri144.PNG,data\processed\images_1024\manuscri144.PNG,data\processed\thumbnails\manuscri144.PNG,,,manuscri144.PNG,,,,auto: needs manual review
77,data\raw\manuscripts\manuscri145.PNG,data\processed\images_1024\manuscri145.PNG,data\processed\thumbnails\manuscri145.PNG,,,manuscri145.PNG,,,,auto: needs manual review
78,data\raw\manuscripts\manuscri146.PNG,data\processed\images_1024\manuscri146.PNG,data\processed\thumbnails\manuscri146.PNG,,,manuscri146.PNG,,,,auto: needs manual review
79,data\raw\manuscripts\manuscri147.PNG,data\processed\images_1024\manuscri147.PNG,data\processed\thumbnails\manuscri147.PNG,,,manuscri147.PNG,,,,auto: needs manual review
80,data\raw\manuscripts\manuscri148.PNG,data\processed\images_1024\manuscri148.PNG,data\processed\thumbnails\manuscri148.PNG,,,manuscri148.PNG,,,,auto: needs manual review
81,data\raw\manuscripts\manuscri149.PNG,data\processed\images_1024\manuscri149.PNG,data\processed\thumbnails\manuscri149.PNG,,,manuscri149.PNG,,,,auto: needs manual review
82,data\raw\manuscripts\manuscri15.PNG,data\processed\images_1024\manuscri15.PNG,data\processed\thumbnails\manuscri15.PNG,,,manuscri15.PNG,,,,auto: needs manual review
83,data\raw\manuscripts\manuscri150.PNG,data\processed\images_1024\manuscri150.PNG,data\processed\thumbnails\manuscri150.PNG,,,manuscri150.PNG,,,,auto: needs manual review
84,data\raw\manuscripts\manuscri151.PNG,data\processed\images_1024\manuscri151.PNG,data\processed\thumbnails\manuscri151.PNG,,,manuscri151.PNG,,,,auto: needs manual review
85,data\raw\manuscripts\manuscri152.PNG,data\processed\images_1024\manuscri152.PNG,data\processed\thumbnails\manuscri152.PNG,,,manuscri152.PNG,,,,auto: needs manual review
86,data\raw\manuscripts\manuscri153.PNG,data\processed\images_1024\manuscri153.PNG,data\processed\thumbnails\manuscri153.PNG,,,manuscri153.PNG,,,,auto: needs manual review
87,data\raw\manuscripts\manuscri154.PNG,data\processed\images_1024\manuscri154.PNG,data\processed\thumbnails\manuscri154.PNG,,,manuscri154.PNG,,,,auto: needs manual review
88,data\raw\manuscripts\manuscri155.PNG,data\processed\images_1024\manuscri155.PNG,data\processed\thumbnails\manuscri155.PNG,,,manuscri155.PNG,,,,auto: needs manual review
89,data\raw\manuscripts\manuscri156.PNG,data\processed\images_1024\manuscri156.PNG,data\processed\thumbnails\manuscri156.PNG,,,manuscri156.PNG,,,,auto: needs manual review
90,data\raw\manuscripts\manuscri157.PNG,data\processed\images_1024\manuscri157.PNG,data\processed\thumbnails\manuscri157.PNG,,,manuscri157.PNG,,,,auto: needs manual review
91,data\raw\manuscripts\manuscri158.PNG,data\processed\images_1024\manuscri158.PNG,data\processed\thumbnails\manuscri158.PNG,,,manuscri158.PNG,,,,auto: needs manual review
92,data\raw\manuscripts\manuscri159.PNG,data\processed\images_1024\manuscri159.PNG,data\processed\thumbnails\manuscri159.PNG,,,manuscri159.PNG,,,,auto: needs manual review
93,data\raw\manuscripts\manuscri16.PNG,data\processed\images_1024\manuscri16.PNG,data\processed\thumbnails\manuscri16.PNG,,,manuscri16.PNG,,,,auto: needs manual review
94,data\raw\manuscripts\manuscri160.PNG,data\processed\images_1024\manuscri160.PNG,data\processed\thumbnails\manuscri160.PNG,,,manuscri160.PNG,,,,auto: needs manual review
95,data\raw\manuscripts\manuscri161.PNG,data\processed\images_1024\manuscri161.PNG,data\processed\thumbnails\manuscri161.PNG,,,manuscri161.PNG,,,,auto: needs manual review
96,data\raw\manuscripts\manuscri162.PNG,data\processed\images_1024\manuscri162.PNG,data\processed\thumbnails\manuscri162.PNG,,,manuscri162.PNG,,,,auto: needs manual review
97,data\raw\manuscripts\manuscri163.PNG,data\processed\images_1024\manuscri163.PNG,data\processed\thumbnails\manuscri163.PNG,,,manuscri163.PNG,,,,auto: needs manual review
98,data\raw\manuscripts\manuscri164.PNG,data\processed\images_1024\manuscri164.PNG,data\processed\thumbnails\manuscri164.PNG,,,manuscri164.PNG,,,,auto: needs manual review
99,data\raw\manuscripts\manuscri165.PNG,data\processed\images_1024\manuscri165.PNG,data\processed\thumbnails\manuscri165.PNG,,,manuscri165.PNG,,,,auto: needs manual review
100,data\raw\manuscripts\manuscri166.PNG,data\processed\images_1024\manuscri166.PNG,data\processed\thumbnails\manuscri166.PNG,,,manuscri166.PNG,,,,auto: needs manual review
101,data\raw\manuscripts\manuscri167.PNG,data\processed\images_1024\manuscri167.PNG,data\processed\thumbnails\manuscri167.PNG,,,manuscri167.PNG,,,,auto: needs manual review
102,data\raw\manuscripts\manuscri168.PNG,data\processed\images_1024\manuscri168.PNG,data\processed\thumbnails\manuscri168.PNG,,,manuscri168.PNG,,,,auto: needs manual review
103,data\raw\manuscripts\manuscri169.PNG,data\processed\images_1024\manuscri169.PNG,data\processed\thumbnails\manuscri169.PNG,,,manuscri169.PNG,,,,auto: needs manual review
104,data\raw\manuscripts\manuscri17.PNG,data\processed\images_1024\manuscri17.PNG,data\processed\thumbnails\manuscri17.PNG,,,manuscri17.PNG,,,,auto: needs manual review
105,data\raw\manuscripts\manuscri170.PNG,data\processed\images_1024\manuscri170.PNG,data\processed\thumbnails\manuscri170.PNG,,,manuscri170.PNG,,,,auto: needs manual review
106,data\raw\manuscripts\manuscri171.PNG,data\processed\images_1024\manuscri171.PNG,data\processed\thumbnails\manuscri171.PNG,,,manuscri171.PNG,,,,auto: needs manual review
107,data\raw\manuscripts\manuscri172.PNG,data\processed\images_1024\manuscri172.PNG,data\processed\thumbnails\manuscri172.PNG,,,manuscri172.PNG,,,,auto: needs manual review
108,data\raw\manuscripts\manuscri173.PNG,data\processed\images_1024\manuscri173.PNG,data\processed\thumbnails\manuscri173.PNG,,,manuscri173.PNG,,,,auto: needs manual review
109,data\raw\manuscripts\manuscri174.PNG,data\processed\images_1024\manuscri174.PNG,data\processed\thumbnails\manuscri174.PNG,,,manuscri174.PNG,,,,auto: needs manual review
110,data\raw\manuscripts\manuscri175.PNG,data\processed\images_1024\manuscri175.PNG,data\processed\thumbnails\manuscri175.PNG,,,manuscri175.PNG,,,,auto: needs manual review
111,data\raw\manuscripts\manuscri176.PNG,data\processed\images_1024\manuscri176.PNG,data\processed\thumbnails\manuscri176.PNG,,,manuscri176.PNG,,,,auto: needs manual review
112,data\raw\manuscripts\manuscri177.PNG,data\processed\images_1024\manuscri177.PNG,data\processed\thumbnails\manuscri177.PNG,,,manuscri177.PNG,,,,auto: needs manual review
113,data\raw\manuscripts\manuscri178.PNG,data\processed\images_1024\manuscri178.PNG,data\processed\thumbnails\manuscri178.PNG,,,manuscri178.PNG,,,,auto: needs manual review
114,data\raw\manuscripts\manuscri179.PNG,data\processed\images_1024\manuscri179.PNG,data\processed\thumbnails\manuscri179.PNG,,,manuscri179.PNG,,,,auto: needs manual review
115,data\raw\manuscripts\manuscri18.PNG,data\processed\images_1024\manuscri18.PNG,data\processed\thumbnails\manuscri18.PNG,,,manuscri18.PNG,,,,auto: needs manual review
116,data\raw\manuscripts\manuscri180.PNG,data\processed\images_1024\manuscri180.PNG,data\processed\thumbnails\manuscri180.PNG,,,manuscri180.PNG,,,,auto: needs manual review
117,data\raw\manuscripts\manuscri181.PNG,data\processed\images_1024\manuscri181.PNG,data\processed\thumbnails\manuscri181.PNG,,,manuscri181.PNG,,,,auto: needs manual review
118,data\raw\manuscripts\manuscri182.PNG,data\processed\images_1024\manuscri182.PNG,data\processed\thumbnails\manuscri182.PNG,,,manuscri182.PNG,,,,auto: needs manual review
119,data\raw\manuscripts\manuscri183.PNG,data\processed\images_1024\manuscri183.PNG,data\processed\thumbnails\manuscri183.PNG,,,manuscri183.PNG,,,,auto: needs manual review
120,data\raw\manuscripts\manuscri184.PNG,data\processed\images_1024\manuscri184.PNG,data\processed\thumbnails\manuscri184.PNG,,,manuscri184.PNG,,,,auto: needs manual review
121,data\raw\manuscripts\manuscri185.PNG,data\processed\images_1024\manuscri185.PNG,data\processed\thumbnails\manuscri185.PNG,,,manuscri185.PNG,,,,auto: needs manual review
122,data\raw\manuscripts\manuscri186.PNG,data\processed\images_1024\manuscri186.PNG,data\processed\thumbnails\manuscri186.PNG,,,manuscri186.PNG,,,,auto: needs manual review
123,data\raw\manuscripts\manuscri187.PNG,data\processed\images_1024\manuscri187.PNG,data\processed\thumbnails\manuscri187.PNG,,,manuscri187.PNG,,,,auto: needs manual review
124,data\raw\manuscripts\manuscri188.PNG,data\processed\images_1024\manuscri188.PNG,data\processed\thumbnails\manuscri188.PNG,,,manuscri188.PNG,,,,auto: needs manual review
125,data\raw\manuscripts\manuscri189.PNG,data\processed\images_1024\manuscri189.PNG,data\processed\thumbnails\manuscri189.PNG,,,manuscri189.PNG,,,,auto: needs manual review
126,data\raw\manuscripts\manuscri19.PNG,data\processed\images_1024\manuscri19.PNG,data\processed\thumbnails\manuscri19.PNG,,,manuscri19.PNG,,,,auto: needs manual review
127,data\raw\manuscripts\manuscri190.PNG,data\processed\images_1024\manuscri190.PNG,data\processed\thumbnails\manuscri190.PNG,,,manuscri190.PNG,,,,auto: needs manual review
128,data\raw\manuscripts\manuscri191.PNG,data\processed\images_1024\manuscri191.PNG,data\processed\thumbnails\manuscri191.PNG,,,manuscri191.PNG,,,,auto: needs manual review
129,data\raw\manuscripts\manuscri192.PNG,data\processed\images_1024\manuscri192.PNG,data\processed\thumbnails\manuscri192.PNG,,,manuscri192.PNG,,,,auto: needs manual review
130,data\raw\manuscripts\manuscri193.PNG,data\processed\images_1024\manuscri193.PNG,data\processed\thumbnails\manuscri193.PNG,,,manuscri193.PNG,,,,auto: needs manual review
131,data\raw\manuscripts\manuscri194.PNG,data\processed\images_1024\manuscri194.PNG,data\processed\thumbnails\manuscri194.PNG,,,manuscri194.PNG,,,,auto: needs manual review
132,data\raw\manuscripts\manuscri195.PNG,data\processed\images_1024\manuscri195.PNG,data\processed\thumbnails\manuscri195.PNG,,,manuscri195.PNG,,,,auto: needs manual review
133,data\raw\manuscripts\manuscri196.PNG,data\processed\images_1024\manuscri196.PNG,data\processed\thumbnails\manuscri196.PNG,,,manuscri196.PNG,,,,auto: needs manual review
134,data\raw\manuscripts\manuscri197.PNG,data\processed\images_1024\manuscri197.PNG,data\processed\thumbnails\manuscri197.PNG,,,manuscri197.PNG,,,,auto: needs manual review
135,data\raw\manuscripts\manuscri198.PNG,data\processed\images_1024\manuscri198.PNG,data\processed\thumbnails\manuscri198.PNG,,,manuscri198.PNG,,,,auto: needs manual review
136,data\raw\manuscripts\manuscri199.PNG,data\processed\images_1024\manuscri199.PNG,data\processed\thumbnails\manuscri199.PNG,,,manuscri199.PNG,,,,auto: needs manual review
137,data\raw\manuscripts\manuscri20.PNG,data\processed\images_1024\manuscri20.PNG,data\processed\thumbnails\manuscri20.PNG,,,manuscri20.PNG,,,,auto: needs manual review
138,data\raw\manuscripts\manuscri200.PNG,data\processed\images_1024\manuscri200.PNG,data\processed\thumbnails\manuscri200.PNG,,,manuscri200.PNG,,,,auto: needs manual review
139,data\raw\manuscripts\manuscri201.PNG,data\processed\images_1024\manuscri201.PNG,data\processed\thumbnails\manuscri201.PNG,,,manuscri201.PNG,,,,auto: needs manual review
140,data\raw\manuscripts\manuscri202.PNG,data\processed\images_1024\manuscri202.PNG,data\processed\thumbnails\manuscri202.PNG,,,manuscri202.PNG,,,,auto: needs manual review
141,data\raw\manuscripts\manuscri203.PNG,data\processed\images_1024\manuscri203.PNG,data\processed\thumbnails\manuscri203.PNG,,,manuscri203.PNG,,,,auto: needs manual review
142,data\raw\manuscripts\manuscri204.PNG,data\processed\images_1024\manuscri204.PNG,data\processed\thumbnails\manuscri204.PNG,,,manuscri204.PNG,,,,auto: needs manual review
143,data\raw\manuscripts\manuscri205.PNG,data\processed\images_1024\manuscri205.PNG,data\processed\thumbnails\manuscri205.PNG,,,manuscri205.PNG,,,,auto: needs manual review
144,data\raw\manuscripts\manuscri21.PNG,data\processed\images_1024\manuscri21.PNG,data\processed\thumbnails\manuscri21.PNG,,,manuscri21.PNG,,,,auto: needs manual review
145,data\raw\manuscripts\manuscri22.PNG,data\processed\images_1024\manuscri22.PNG,data\processed\thumbnails\manuscri22.PNG,,,manuscri22.PNG,,,,auto: needs manual review
146,data\raw\manuscripts\manuscri23.PNG,data\processed\images_1024\manuscri23.PNG,data\processed\thumbnails\manuscri23.PNG,,,manuscri23.PNG,,,,auto: needs manual review
147,data\raw\manuscripts\manuscri24.PNG,data\processed\images_1024\manuscri24.PNG,data\processed\thumbnails\manuscri24.PNG,,,manuscri24.PNG,,,,auto: needs manual review
148,data\raw\manuscripts\manuscri25.PNG,data\processed\images_1024\manuscri25.PNG,data\processed\thumbnails\manuscri25.PNG,,,manuscri25.PNG,,,,auto: needs manual review
149,data\raw\manuscripts\manuscri26.PNG,data\processed\images_1024\manuscri26.PNG,data\processed\thumbnails\manuscri26.PNG,,,manuscri26.PNG,,,,auto: needs manual review
150,data\raw\manuscripts\manuscri27.PNG,data\processed\images_1024\manuscri27.PNG,data\processed\thumbnails\manuscri27.PNG,,,manuscri27.PNG,,,,auto: needs manual review
151,data\raw\manuscripts\manuscri28.PNG,data\processed\images_1024\manuscri28.PNG,data\processed\thumbnails\manuscri28.PNG,,,manuscri28.PNG,,,,auto: needs manual review
152,data\raw\manuscripts\manuscri29.PNG,data\processed\images_1024\manuscri29.PNG,data\processed\thumbnails\manuscri29.PNG,,,manuscri29.PNG,,,,auto: needs manual review
